,ipa,nosyl
386,ʈ͡ʂʰõˊŋ,1
387,ʈ͡ʂʰøˊ.d̥õŋ,2
388,ʈ͡ʂʰɛˊl,1
389,ʈ͡ʂʰiˋ.g̊ɛ,2
390,ʈ͡ʂʰiˋ.ɲəm,2
391,ʈ͡ʂʰiˋ.ɲɛ,2
392,ʈ͡ʂʰiˋ.d̥ə,2
393,ʈ͡ʂʰiˋ.d̥ə.b̥u,3
394,ʈ͡ʂʰiˋ.d̥ər,2
395,ʈ͡ʂʰiˋ.d͡z̥əm,2
396,ʈ͡ʂʰiˋ.ɕĩn̚,2
397,ʈ͡ʂʰiˋ.si,2
398,ɖ͡ʐuˋk̚,1
399,ɖ͡ʐaˋm,1
400,ɖ͡ʐaˋm.b̥ɛl,2
401,ɖ͡ʐɛˋl,1
402,ɖ͡ʐiˋk̚,1
403,ɖ͡ʐiˋk̚.tɛ̃n̚,2
404,ɖ͡ʐiˋm,1
405,ɖ͡ʐũˋŋ,1
406,ɖ͡ʐɛˋp̚,1
407,ɖ͡ʐɔˋk̚,1
408,ɖ͡ʐeˋ.b̥ø̃n̚,2
409,ɖ͡ʐɛˋ,1
410,ɖ͡ʐɛˋ.su,2
411,ɖ͡ʐaˋk̚,1
412,ɖ͡ʐãˋŋ,1
413,ɖ͡ʐãˋŋ.g̊u,2
414,ɖ͡ʐãˋŋ.b̥u,2
415,ɖ͡ʐøˋn̚.ɕĩŋ,2
416,ɖ͡ʐiˋ,1
417,ɖ͡ʐøˋ,1
418,ɲaˋɣ.mə,2
419,ɲɛ̃ˋn̚,1
420,ɲɛˋn̚.d̥ø,2
421,ɲaˋm,1
422,ɲaˋm.ŋə,2
423,ɲiˋ,1
424,ɲiˋ.mə,2
425,ɲiˋ.d͡z̥e,2
426,ɲiˋ.ɕu,2
427,ɲiˋ.ɕu.ŋə,3
428,ɲiˋ.ɕu.ɖ͡ʐ̊ik̚,3
429,ɲiˋ.ɕu.ɲi,3
430,ɲiˋ.ɕu.d͡z̥ə.ɲi,4
431,ɲĩˋŋ.d͡z̥əm,2
432,ɲĩˋŋ.lək̚,2
433,ɲĩˋn̚,1
434,ɲũˋŋ,1
435,ɲũˋː.ŋu,2
436,ɲũˋŋ.g̊ər,2
437,ɲeˋ,1
438,ɲeˋ.d̥u,2
439,ɲeˋ.wər,2
440,ɲɛˋr,1
441,ɲø̃ˋn̚,1
442,ɲøˋn̚.mõŋ,2
443,ɲaˊ,1
444,ɲaˊ.ɕĩŋ,2
445,ɲiˊ,1
446,ɲiˊ.g̊ə,2
447,ɲɛ̃ˊn̚,1
448,ɲɛˊm.b̥o,2
449,ɲɛˊn̚.d͡z̥əm,2
450,ɲɛˊr,1
451,ɲaˊm,1
452,ɲaˊm.ɲi,2
453,ɲaˊm.b̥ə.ɲi,3
454,ɲɛˊ,1
455,ɲɛˊn̚.ŋək̚,2
456,ɲĩˊŋ,1
457,ɲĩˊŋ.ɖ͡ʐ̊e,2
458,ɲĩˊŋ.b̥o,2
459,ɲɔˊm.b̥ər,2
460,ɲɛˊŋ.g̊ur,2
461,taˊ,1
462,tĩˊː.ŋe.d͡z̥ĩn̚,3
463,tĩˊŋ.d͡z̥ĩn̚,2
464,tiˊl,1
465,tɔˊk̚,1
466,tɛ̃ˊn̚,1
467,taˊm,1
468,tiˊ.muk̚,2
469,tĩˊŋ,1
470,tuˊk̚,1
471,tɛˊr,1
472,tõˊŋ,1
473,tɔˊr,1
474,tøˊ,1
475,taˊk̚,1
476,tãˊŋ,1
477,təˊp̚,1
478,tɛˊk̚,1
479,taˊ.ɖ͡ʐ̊ãŋ.ɕɛ,3
480,tĩˊŋ.b̥ə,2
481,tyˊl,1
482,tyˊl.b̥o,2
483,tɔˊː.g̊e,2
484,taˊ.d̥ãŋ,2
485,taˊ.b̥u,2
486,taˊ.ʈ͡ʂø,2
487,taˊr,1
488,tũˊŋ,1
489,teˊ.wə,2
490,toˊ,1
491,taˊ.g̊ø̃n̚,2
492,taˊ.re,2
493,taˊɣ.mo,2
494,taˊ.t͡sãŋ,2
495,taˊɣ.ɕəm,2
496,tuˊk̚.pə,2
497,tuˊk̚.po,2
498,tẽˊŋ,1
499,tõˊŋ.b̥ə.ɲi,3
500,tõˊŋ.ɖ̥ək̚,2
501,tõˊŋ.ɖ̥əɣ.ɲi.ɕu.ŋə,5
502,tø̃ˊn̚,1
503,tɔˊp̚,1
504,tɛˊ,1
505,tɛˊn̚.ɖ͡ʐ̊ø,2
506,tʰaˊ,1
507,tʰaˊ.d̥ɛ,2
508,tʰaˊ.mə,2
509,tʰaˊ.mɛl,2
510,tʰaˊ.d͡z̥ik̚,2
511,tʰaˊ.ɕɛl,2
512,tʰaˊk̚,1
513,tʰɛˊ,1
514,tʰəˊp̚,1
515,tʰəˊp̚.kũŋ,2
516,tʰəˊp̚.mo,2
517,tʰaˊm,1
518,tʰaˊm.ɖ͡ʐ̊ɛ,2
519,tʰaˊr,1
520,tʰɛˊl,1
521,tʰɛˊl.g̊ũŋ,2
522,tʰiˊk̚,1
523,tʰiˊg̊.le,2
524,tʰiˊp̚,1
525,tʰuˊk̚,1
526,tʰũˊŋ,1
527,tʰũˊː.ŋu,2
528,tʰỹˊn̚,1
529,tʰyˊn̚.mõŋ,2
530,tʰuˊp̚,1
531,tʰɛˊk̚,1
532,tʰoˊ,1
533,tʰɔˊk̚,1
534,tʰøˊ.g̊ɛl,2
535,tʰɔˊp̚,1
536,tʰøˊ,1
537,tʰaˊ.d̥ək̚,2
538,tʰĩˊŋ,1
539,tʰĩˊŋ.ɕỹn̚,2
540,tʰiˊl,1
541,tʰuˊ,1
542,tʰeˊ.b̥õŋ,2
543,tʰõˊŋ,1
544,tʰø̃ˊn̚,1
545,tʰɔˊr,1
546,tʰaˋ,1
547,tʰaˋn.d̥ə,2
548,tʰaˋk̚,1
549,tʰãˋŋ.b̥o,2
550,tʰɛˋ,1
551,tʰaˋm,1
552,tʰɛˋl,1
553,tʰuˋ.mə,2
554,tʰuˋk̚,1
555,tʰyˋn.ɖ̥o,2
556,tʰuˋr,1
557,tʰuˋr.ɖ̥ø,2
558,tʰyˋl,1
559,tʰyˋ,1
560,tʰeˋ,1
561,tʰeˋ.ɲi,2
562,tʰeˋ.d̥ə.nə,3
563,tʰeˋ.d̥ə.wɛ.nə,4
564,tʰeˋ.d̥ər,2
565,tʰeˋ.d̥ək̚,2
566,tʰeˋ.nɛ,2
567,tʰeˋ.wɛ.nə,3
568,tʰeˋ.ɕin̚.ɲi,3
569,tʰeˋ.jãŋ,2
570,tʰeˋ.si,2
571,tʰẽˋŋ,1
572,tʰẽˋŋ.sãŋ,2
573,tʰɛˋ.b̥ø̃n̚,2
574,tʰoˋ.ɕɛl,2
575,tʰɔˋk̚,1
576,tʰø̃ˋn̚,1
577,tʰøˋn̚.d̥ək̚,2
578,tʰɔˋr,1
579,ʈʰaˋk̚.po,2
580,ʈʰaˋɣ.ɕyl,2
581,ʈʰɛ̃ˋn̚,1
582,ʈʰiˋ.ɖ͡ʐ̊əp̚,2
583,ʈʰĩˋŋ,1
584,ʈʰĩˋn̚,1
585,ʈʰuˋk̚,1
586,ʈʰuˋk̚.ʈ͡ʂu,2
587,ʈʰuˋk̚.po,2
588,ʈʰũˋŋ,1
589,ʈʰɛˋk̚,1
590,ʈʰɛˋk̚.pə,2
591,dɛ̃ˋn̚,1
592,daˋm,1
593,daˋm.ŋək̚,2
594,daˋ,1
595,duˋ.g̊u,2
596,duˋk̚.t͡sup̚,2
597,duˋk̚,1
598,dũˋŋ,1
599,dyˋl.ɖ͡ʐ̊ə,2
600,dõˋŋ,1
601,daˋk̚,1
602,daˋk̚.ʈ͡ʂək̚,2
603,daˋɣ.ɲi,2
604,daˋk̚.po,2
605,daˋr,1
606,dyˋ,1
607,dỹˋn̚,1
608,dyˋn̚.ɖ͡ʐ̊u,2
609,dyˋm.b̥o,2
610,deˋ,1
611,dɛˋm.ɖ̥o,2
612,deˋ.lək̚,2
613,dɔˋk̚,1
614,daˋɣ.me,2
615,dãˋŋ,1
616,dũˋŋ.d̥ũŋ,2
617,dyˋː.nə.d̥ø̃n̚,3
618,doˋ,1
619,doˋ.d̥e,2
620,dɔˋm,1
621,dɔˋr.nə,2
622,dəˋp̚,1
623,dəˋp̚.ʈ͡ʂək̚,2
624,dəˋp̚.mə,2
625,daˋm.b̥u,2
626,dɛˋ,1
627,diˋ,1
628,diˋ.g̊ɛ,2
629,diˋ.d̥ə.d̥e,3
630,diˋ.d̥ər,2
631,diˋ.d̥ək̚,2
632,diˋ.ɖ̥ə,2
633,diˋ.d͡z̥əm,2
634,duˋ,1
635,duˋ.ɖ͡ʐ̊ɛ,2
636,duˋ.d͡z̥i,2
637,duˋ.ɕɛ,2
638,dyˋ.ɖ͡ʐ̊ɛ,2
639,dyˋ.mə.ɖ͡ʐ̊ɛ,3
640,dɛˋp̚,1
641,døˋ,1
642,døˋ.ɖ͡ʐ̊ək̚,2
643,dɔˋr,1
644,ɖɛˋ,1
645,dyˋl,1
646,dɔˋr.ɖ͡ʐ̊e,2
647,deˋ.mik̚,2
648,diˋk̚,1
649,duˋɣ.ŋɛl,2
650,naˋ,1
651,naˋ.re,2
652,naˋ.le.ɕəm,3
653,naˋk̚,1
654,naˋɣ.nɔk̚,2
655,nãˋŋ,1
656,nɛˋ,1
657,nɛ̃ˋn̚,1
658,nɛˋn.d̥ɛ̃n̚,2
659,naˋm,1
660,naˋm.g̊ə,2
661,nɛˋl.ɕəm,2
662,nuˋ.mə,2
663,nuˋp̚,1
664,nyˋ,1
665,neˋ.d͡z̥o,2
666,nɛˋm,1
667,nɛˋm.nur,2
668,neˋ.u.le,3
669,neˋ.u.sĩŋ,3
670,nɔˋr.b̥u,2
671,naˊk̚,1
672,naˊm,1
673,nɛˊ,1
674,nɛˊ.g̊əp̚,2
675,nɛˊ.d̥ɛ̃n̚,2
676,nøˊ,1
677,nø̃ˊn̚,1
678,nɛ̃ˊn̚,1
679,naˊ,1
680,nɛˊl,1
681,nɛˊl.ɖ͡ʐ̊ɔr,2
682,nɛˊl.mə,2
683,noˊ,1
684,noˊ.wə,2
685,nøˊm.b̥o,2
686,naˊ.g̊ũŋ,2
687,naˊ.d͡z̥ɔk̚,2
688,nãˊŋ,1
689,nəˊp̚,1
690,naˊm.b̥u,2
691,naˊm.ɖ͡ʐ̊ər,2
