,ipa,nosyl
16144,cʰɛˊl.wə,2
16145,cʰɛˊl.d͡z̥ik̚,2
16146,cʰiˊr.wə,2
16147,cʰiˊl.b̥ə,2
16148,cʰiˊː.lũŋ,2
16149,cʰuˊɣ.ɕɛ,2
16150,cʰuˊ.ʈ͡ʂɛ̃n̚,2
16151,cʰuˊk̚.po,2
16152,cʰuˊk̚.te,2
16153,cʰuˊ.jik̚,2
16154,cʰuˊk̚.tɛm,2
16155,cʰyˊ.d̥əm,2
16156,cʰyˊ.d̥ũŋ,2
16157,cʰyˊ.ɖ͡ʐ̊ər,2
16158,cʰyˊn̚.b̥u,2
16159,cʰuˊr.wə,2
16160,cʰɛˊr.mɛ̃n̚,2
16161,cʰɛˊr.ɕɛ̃n̚,2
16162,cʰɛˊr.g̊ø,2
16163,cʰɛˊr.so,2
16164,cʰɔˊk̚.ʈø,2
16165,cʰɔˊk̚.ʈ͡ʂø,2
16166,cʰɔˊɣ.ɕɛ,2
16167,cʰɔˊ.t͡sik̚,2
16168,cʰɔˊk̚.ʈo,2
16169,cʰɔˊk̚.pər,2
16170,cʰɔˊ.jø̃n̚,2
16171,cʰɔˊk̚.tɛm,2
16172,cʰõˊŋ.wə,2
16173,cʰõˊŋ.b̥ə,2
16174,cʰɔˊm.b̥ə,2
16175,cʰɔˊm,1
16176,cʰɔˊr.b̥o,2
16177,cʰɔˊr.g̊ɛl,2
16178,cʰɔˊr.ɖ̥o,2
16179,cʰɔˊː.ro.ro,3
16180,cʰøˊl.wə,2
16181,ʈʰaˊ.sə,2
16182,ʈʰɛˊn̚.ɖ͡ʐ̊ə,2
16183,ʈʰəˊp.ɕũŋ,2
16184,ʈʰəˊː.b̥ə,2
16185,ʈʰəˊp̚.rə,2
16186,ʈʰiˊ.ɖ͡ʐ̊ə,2
16187,ʈʰiˊ.wə,2
16188,ʈʰiˊ.b̥əp̚,2
16189,ʈʰiˊ.sə,2
16190,ʈʰiˊ.ɖ̥up̚,2
16191,ʈʰiˊk̚.pə,2
16192,ʈʰiˊk̚.pə.b̥ɛ,3
16193,ʈʰiˊl.wə,2
16194,ʈʰiˊl.b̥ək̚,2
16195,ʈʰiˊl.d̥ɛm,2
16196,ʈʰiˊl.ɕĩŋ,2
16197,ʈʰuˊ.ɕi,2
16198,ʈʰuˊ.nɛ,2
16199,ʈʰuˊ.b̥ək̚,2
16200,ʈʰuˊ.ɟ̊uk̚,2
16201,ʈʰuˊ.ɖ͡ʐ̊õŋ,2
16202,ʈʰuˊː.g̊ø,2
16203,ʈʰuˊk̚.sĩŋ,2
16204,ʈʰuˊ.ɟ̊ɔm,2
16205,ʈʰuˊk̚.t͡sø,2
16206,ʈʰuˊɣ.lɛ,2
16207,ʈʰuˊɣ.lõŋ,2
16208,ʈʰuˊk̚.ʈ͡ʂɔr,2
16209,ʈʰuˊ.t͡sɛ,2
16210,ʈʰuˊk̚.t͡sĩŋ,2
16211,ʈʰuˊk̚.tɛp̚,2
16212,ʈʰũˊŋ.wə,2
16213,ʈʰũˊŋ.d̥ək̚,2
16214,ʈʰũˊŋ.b̥ə,2
16215,ʈʰũˊŋ.d͡z̥ɛ,2
16216,ʈʰũˊŋ.jyl,2
16217,ʈʰũˊŋ.rəp̚,2
16218,ʈʰũˊŋ.lə,2
16219,ʈʰũˊŋ.g̊ər,2
16220,ʈʰyˊ.b̥ə,2
16221,ʈʰyˊ.d͡z̥ɛ,2
16222,ʈʰyˊn̚.ɖ͡ʐ̊ø,2
16223,ʈʰyˊn̚.d̥ək̚,2
16224,ʈʰyˊl.wə,2
16225,ʈʰyˊl.g̊ɔr.ɟ̊im,3
16226,ʈʰyˊl.ɟ̊u,2
16227,ʈʰyˊl.ɕɛ,2
16228,ʈʰyˊl.so,2
16229,ʈʰyˊl.ɟ̊ø̃n̚,2
16230,ʈʰyˊl.nãŋ,2
16231,ʈʰɛˊm.b̥ə,2
16232,ʈʰɛˊp.to,2
16233,ʈʰɛˊː.b̥ə,2
16234,ʈʰɔˊp̚,1
16235,ʈʰøˊl.ɖ͡ʐ̊ə,2
16236,ʈʰøˊl.b̥o,2
16237,ʈʰøˊl.ɟ̊il,2
16238,gaˋɣ.nɛ,2
16239,gaˋ.tũŋ,2
16240,gaˋk̚.t͡sir,2
16241,gaˋk̚.to,2
16242,gaˋg̊.rĩŋ,2
16243,gaˋk̚.t͡sə,2
16244,gaˋɣ.ləm,2
16245,gaˋː.g̊o,2
16246,gãˋŋ,1
16247,gãˋŋ.ɖ͡ʐ̊ũŋ,2
16248,gãˋŋ.ɖ͡ʐ̊ɛ̃n̚,2
16249,gɛˋn̚.g̊ək̚,2
16250,gɛˋn̚.g̊ur,2
16251,gɛˋn̚.sɛ̃n̚,2
16252,gɛˋn̚.wãŋ,2
16253,gɛˋn̚.g̊ɔr,2
16254,gɛˋn̚.ɖ͡ʐ̊ir,2
16255,gɛˋn̚.d͡z̥i.rə,3
16256,gɛˋn̚.d͡z̥ĩn̚,2
16257,gɛˋn̚.d͡z̥øl,2
16258,gɛˋn̚.lɛ̃n̚,2
16259,gɛˋn̚.ɖ͡ʐ̊ər,2
16260,gɛˋn̚.sũŋ,2
16261,gəˋp̚,1
16262,gəˋp.ɕəm,2
16263,gəˋp̚.tũŋ,2
16264,gəˋp̚.tə,2
16265,gəˋp̚.tỹn̚,2
16266,gəˋp̚.mĩn̚,2
16267,gəˋp.ʈe,2
16268,gaˋm.ɖ͡ʐ̊e,2
16269,gaˋm.g̊ɛ̃n̚,2
16270,gaˋ.d͡z̥əm,2
16271,gaˋ.jãŋ,2
16272,gaˋ.re,2
16273,gaˋr.wo,2
16274,gɛˋl.ɖ͡ʐ̊ə,2
16275,gɛˋl.ɖ͡ʐ̊ɛ,2
16276,gɛˋl.d̥ə,2
16277,gɛˋl.d̥u,2
16278,gɛˋl.ɖ̥ɛl,2
16279,gɛˋl.d͡z̥øl,2
16280,gɛˋl.ɟ̊ɛ̃n̚,2
16281,giˋ,1
16282,giˋ.wãŋ,2
16283,giˋ.hãŋ,2
16284,giˋ.u.wãŋ,3
16285,guˋk̚.pə,2
16286,guˋk̚.tə,2
16287,guˋ.t͡sə,2
16288,guˋk̚.pø,2
16289,guˋɣ.ŋək̚,2
16290,guˋk̚.ty,2
16291,gyˋl.mɛr.mɛr,3
16292,gyˋl.g̊yl,2
16293,gyˋl.d͡z̥ə,2
16294,gyˋl.d̥ɛk̚,2
16295,gyˋl.ɕuk̚,2
16296,gyˋl.ɟ̊ø,2
16297,gɛˋk̚.pə,2
16298,gẽˋŋ.b̥ə,2
16299,gɛˋː.b̥ə,2
16300,gɛˋː.me,2
16301,gɛˋm.b̥ə,2
16302,gɛˋl.d̥ãŋ,2
16303,gɛˋl.jək̚,2
16304,gɛˋl.ri,2
16305,gɛˋː.luk̚,2
16306,goˋ.ɖ̥i,2
16307,goˋ.b̥ø̃n̚,2
16308,goˋ.nɛ̃n̚,2
16309,goˋ.b̥ə,2
16310,goˋ.d̥ɔk̚,2
16311,goˋ.ɖ͡ʐ̊ø,2
16312,goˋ.ɖ͡ʐ̊ɛ.b̥ə,3
16313,goˋ.ɖ͡ʐ̊ɛ.b̥o,3
16314,goˋ.sim.b̥ə,3
16315,goˋ.ɖ͡ʐ̊u.wə,3
16316,goˋ.d̥ɔm,2
16317,goˋ.d͡z̥uk̚,2
16318,goˋ.rim,2
16319,goˋ.d͡z̥ɔm,2
16320,goˋ.lĩŋ.ɟ̊ɛ,3
16321,goˋ.nəm,2
16322,gɔˋk̚.tɛ̃n̚,2
16323,gɔˋg̊.rək̚,2
16324,gɔˋk̚.sũŋ,2
16325,gõˋŋ.b̥o,2
16326,gøˋ.d̥o,2
16327,gɔˋm.juk̚,2
16328,gɔˋm.d͡z̥i,2
16329,gɔˋr.d̥ɔk̚,2
16330,gɔˋr.ɟ̊ãŋ,2
16331,gɔˋr.ɟ̊ø̃n̚,2
16332,gøˋl.nɛ,2
16333,gøˋl.sẽŋ,2
16334,gøˋl.b̥o,2
16335,gøˋl.wə,2
16336,gøˋl.sə,2
16337,ɟãˋŋ.ɖ͡ʐ̊ɛ,2
16338,ɟaˋm,1
16339,ɟaˋr.ɟ̊ur,2
16340,ɟiˋk̚,1
16341,ɟiˋ.ʈ͡ʂi.ril,3
16342,ɟĩˋŋ.ɲəm,2
16343,ɟĩˋŋ.wə,2
16344,ɟĩˋŋ.b̥ək̚,2
16345,ɟĩˋŋ.d͡z̥yl,2
16346,ɟĩˋŋ.ɖ̥ø,2
16347,ɟĩˋŋ.ɖ͡ʐ̊əm,2
16348,ɟĩˋŋ.d̥əp̚,2
16349,ɟĩˋŋ,1
16350,ɟuˋr.d̥ə.re,3
16351,ɟuˋr.ɖ͡ʐ̊ək̚,2
16352,ɟuˋr.ɖ͡ʐ̊ɔk̚,2
16353,ɟuˋr.b̥ək̚,2
16354,ɟuˋr.ɖ͡ʐ̊ɛ,2
16355,ɟuˋr.mɛ,2
16356,ɟuˋr.d͡z̥ik̚,2
16357,ɟuˋr.d̥ɛ̃n̚,2
16358,ɟuˋr.d̥ɔk̚,2
16359,ɟuˋr.g̊ɛ,2
16360,ɟɛˋ.jø̃n̚,2
16361,ɟɛˋr.wə,2
16362,ɟɛˋː.lɔk̚,2
16363,ɟɔˋk̚.tũŋ,2
16364,ɟɔˋɣ.nø̃n̚,2
16365,ɟɔˋ.tək̚,2
16366,ɟɔˋ.ʈ͡ʂəm,2
16367,ɟɔˋ.ʈ͡ʂɛ,2
16368,ɟɔˋk̚.tə,2
16369,ɟɔˋ.t͡suk̚,2
16370,ɟɔˋ.ʈ͡ʂãŋ,2
16371,ɟɔˋɣ.ŋɛ,2
16372,ɟøˋ.d̥ũŋ,2
16373,ɟøˋ.b̥ə,2
16374,ɟøˋ.ɕək̚,2
16375,ɟøˋ.d͡z̥ãŋ,2
16376,ɟøˋ.d̥ɔk̚,2
16377,ɟøˋ.sɛm,2
16378,ɖãˋŋ.d̥ɔk̚,2
16379,ɖɛˋn̚.d̥o,2
16380,ɖɛˋm.b̥ə,2
16381,ɖɛˋn.d̥ə,2
16382,ɖɛˋn̚.jə,2
16383,ɖɛˋŋ.g̊øl,2
16384,ɖɛˋn̚.sɛm,2
16385,ɖɛˋn.d̥ur,2
16386,ɖaˋm.g̊uk̚,2
16387,ɖaˋm.ɕɔk̚,2
16388,ɖaˋm.ŋɔk̚,2
16389,ɖaˋm.ɖ͡ʐ̊ãŋ,2
16390,ɖaˋm.ɖ͡ʐ̊u,2
16391,ɖaˋm.ɟ̊y,2
16392,ɖaˋm.b̥uk̚,2
16393,ɖaˋm.g̊yl,2
16394,ɖaˋm.ry,2
16395,ɖaˋm.ɟ̊õŋ,2
16396,ɖaˋm.lɔk̚,2
16397,ɖaˋm.ɖ͡ʐ̊ək̚,2
16398,ɖaˋm.ɕə,2
16399,ɖaˋm.so,2
16400,ɖaˋm.ɟ̊ɔr,2
16401,ɖaˋm.d̥ɛk̚,2
16402,ɖaˋm.d̥õŋ,2
16403,ɖaˋm.ɖ͡ʐ̊ɔr,2
16404,ɖaˋm.d͡z̥ɛ,2
16405,ɖɛˋ.ɖ̥y,2
16406,ɖiˋk̚.po,2
16407,ɖiˋŋ.mĩn̚,2
16408,ɖiˋm.ɖ̥yl,2
16409,ɖiˋm,1
16410,ɖiˋ,1
16411,ɖuˋp.ʈ͡ʂɔr,2
16412,ɖyˋl.g̊ə,2
16413,ɖyˋl.g̊ãŋ,2
16414,ɖyˋl.ɖ͡ʐ̊ɛ,2
16415,ɖyˋl.b̥ə,2
16416,ɖyˋl.wə,2
16417,ɖyˋl.ɕy,2
16418,ɖyˋl.d͡z̥ə.b̥o,3
16419,ɖyˋl.rɔk̚,2
16420,ɖyˋː.ləm,2
16421,ɖyˋl.ɟ̊ɛl,2
16422,ɖyˋl.ɟ̊ø,2
16423,ɖyˋl.g̊ər,2
16424,ɖyˋl.nə,2
16425,ɖyˋ.g̊ɔk̚,2
16426,ɖyˋ.ɟ̊õŋ,2
16427,ɖeˋ.lɔk̚,2
16428,ɖeˋ.d̥ɔk̚,2
16429,ɖẽˋŋ.b̥o,2
16430,ɖẽˋŋ.b̥u,2
16431,ɖẽˋŋ,1
16432,ɖɛˋ.d̥ər,2
16433,ɖɛˋ.d̥əp̚,2
16434,ɖɛˋ.ɖ͡ʐ̊i,2
16435,ɖɛˋl.ɖ͡ʐ̊ɛ̃n̚,2
16436,ɖɛˋl.b̥ə,2
16437,ɖɛˋl.ɕɛ,2
16438,ɖɛˋ.g̊ãŋ,2
16439,ɖoˋ.g̊ə,2
16440,ɖoˋ.g̊ũŋ,2
16441,ɖoˋ.ɖ̥ø̃n̚,2
16442,ɖoˋ.ɖ͡ʐ̊ɛ,2
16443,ɖoˋ.ɖ͡ʐ̊e.wə,3
16444,ɖoˋ.ŋyl,2
16445,ɖoˋ.d̥ø̃n̚,2
16446,ɖoˋ.b̥o,2
16447,ɖoˋ.b̥ɛ̃n̚,2
16448,ɖoˋ.ɖ͡ʐ̊i.wə,3
16449,ɖoˋ.ɖ͡ʐ̊əm,2
16450,ɖoˋ.g̊ø̃n̚,2
16451,ɖoˋ.ɟ̊ɔk̚,2
16452,ɖoˋ.d͡z̥əm,2
16453,ɖoˋ.d͡z̥ɛr,2
16454,ɖoˋ.mɛ,2
16455,ɖoˋ.d͡z̥ø,2
16456,ɖoˋ.g̊ɔk̚,2
16457,ɖoˋ.d̥uk̚,2
16458,ɖoˋ.ɖ̥ɛ̃n̚,2
16459,ɖoˋ.õŋ,2
16460,ɖoˋ.rɛ,2
16461,ɖoˋ.d͡z̥õŋ,2
16462,ɖoˋ.luk̚,2
16463,ɖoˋ.d̥ɛ̃n̚,2
16464,ɖoˋ.ɕyl,2
16465,ɖoˋ.ɕɔm,2
16466,ɖoˋ.sə,2
16467,ɖoˋ.sõŋ,2
16468,ɖoˋ.g̊o,2
16469,ɖoˋ.ŋə.wə,3
16470,ɖoˋ.d̥ãŋ,2
16471,ɖoˋ.nãŋ,2
16472,ɖɔˋɣ.ɕɛ,2
16473,ɖɔˋk̚.sɛm,2
16474,ɖõˋŋ.g̊ə,2
16475,ɖõˋŋ.b̥ə,2
16476,ɖøˋn̚.d̥ɛl,2
16477,ɖøˋn̚.ləm,2
16478,ɖøˋ.ɖ͡ʐ̊ɛ̃n̚,2
16479,ɖøˋ.d̥ɛl,2
16480,ɖøˋ.sãŋ,2
16481,ɖøˋ.b̥yl,2
16482,ɖøˋ.mə,2
16483,ɖøˋ.ɲəm,2
16484,ʈ͡ʂʰaˊk̚.sə,2
16485,ʈ͡ʂʰãˊŋ.sũŋ,2
16486,ʈ͡ʂʰɛˊ.ɲɛ̃n̚,2
16487,ʈ͡ʂʰəˊː.b̥ə,2
16488,ʈ͡ʂʰəˊp.sɛm,2
16489,ʈ͡ʂʰaˊm.b̥ø̃n̚,2
16490,ʈ͡ʂʰaˊm.b̥o,2
16491,ʈ͡ʂʰaˊm.ɖ͡ʐ̊əm,2
16492,ʈ͡ʂʰaˊm.b̥ək̚,2
16493,ʈ͡ʂʰaˊm.jik̚,2
16494,ʈ͡ʂʰaˊm.rə,2
16495,ʈ͡ʂʰaˊr.ɕi,2
16496,ʈ͡ʂʰaˊr.sĩn̚,2
16497,ʈ͡ʂʰaˊr.d̥ə,2
16498,ʈ͡ʂʰaˊr.b̥ər,2
16499,ʈ͡ʂʰaˊr.lo,2
16500,ʈ͡ʂʰaˊr.g̊o,2
16501,ʈ͡ʂʰɛˊl.d̥əm,2
16502,ʈ͡ʂʰɛˊː.lu,2
16503,ʈ͡ʂʰɛˊl.b̥ə,2
16504,ʈ͡ʂʰɛˊl.b̥o,2
16505,ʈ͡ʂʰɛˊl.wə,2
16506,ʈ͡ʂʰɛˊl.d͡z̥ik̚,2
16507,ʈ͡ʂʰɛˊl.ɖ͡ʐ̊ø,2
16508,ʈ͡ʂʰiˊ.g̊ə,2
16509,ʈ͡ʂʰiˊ.g̊ə.mə,3
16510,ʈ͡ʂʰiˊ.ɲɛ̃n̚,2
16511,ʈ͡ʂʰiˊ.nɛ,2
16512,ʈ͡ʂʰiˊ.lu,2
16513,ʈ͡ʂʰiˊ.mɛ,2
16514,ʈ͡ʂʰiˊ.d̥əp̚,2
16515,ʈ͡ʂʰiˊ.d͡z̥ə,2
16516,ʈ͡ʂʰiˊ.d̥ɛ,2
16517,ʈ͡ʂʰiˊ.sɛm,2
16518,ʈ͡ʂʰiˊ.ɟ̊ø̃n̚,2
16519,ʈ͡ʂʰiˊ.si,2
16520,ʈ͡ʂʰĩˊŋ.ɟ̊im,2
16521,ʈ͡ʂʰĩˊŋ.d̥ək̚,2
16522,ʈ͡ʂʰĩˊŋ.b̥ɔr,2
16523,ʈ͡ʂʰĩˊŋ.wə,2
16524,ʈ͡ʂʰĩˊŋ.ɕək̚,2
16525,ʈ͡ʂʰĩˊŋ.ɟ̊ə,2
16526,ʈ͡ʂʰĩˊŋ.ɖ̥ɔk̚,2
16527,ʈ͡ʂʰiˊr.wə,2
16528,ʈ͡ʂʰyˊn.d̥ɔm,2
16529,ʈ͡ʂʰyˊ.b̥o,2
16530,ʈ͡ʂʰɛˊk̚,1
16531,ʈ͡ʂʰoˊ.wə,2
16532,ʈ͡ʂʰɔˊp̚,1
16533,ʈ͡ʂʰɔˊr.wə,2
16534,ʈ͡ʂʰøˊl.d̥əm,2
16535,ʈ͡ʂʰøˊl.wə,2
16536,ʈ͡ʂʰøˊl.ɖ͡ʐ̊øl,2
16537,ɖ͡ʐaˋː.g̊ãŋ,2
16538,ɖ͡ʐaˋk̚.tɛ̃n̚,2
16539,ɖ͡ʐaˋɣ.mə,2
16540,ɖ͡ʐaˋk̚.ʈ͡ʂik̚,2
16541,ɖ͡ʐaˋː.g̊ø,2
16542,ɖ͡ʐaˋk̚.ʈ͡ʂil,2
16543,ɖ͡ʐaˋɣ.ɲɛl,2
16544,ɖ͡ʐaˋk̚.pə,2
16545,ɖ͡ʐãˋŋ.wə,2
16546,ɖ͡ʐãˋŋ.ɖ͡ʐ̊õŋ,2
16547,ɖ͡ʐãˋŋ.jyl,2
16548,ɖ͡ʐãˋŋ.b̥ə,2
16549,ɖ͡ʐɛˋn̚.b̥o,2
16550,ɖ͡ʐɛˋn̚.mo,2
16551,ɖ͡ʐəˋp̚.mək̚,2
16552,ɖ͡ʐəˋː.b̥ə,2
16553,ɖ͡ʐəˋː.b̥u,2
16554,ɖ͡ʐəˋp̚.t͡se,2
16555,ɖ͡ʐəˋp̚.kỹn̚,2
16556,ɖ͡ʐəˋp̚.køl,2
16557,ɖ͡ʐəˋp.t͡se,2
16558,ɖ͡ʐəˋp̚.lɛ̃n̚,2
16559,ɖ͡ʐəˋp.tə,2
16560,ɖ͡ʐaˋm.ɖ̥i,2
16561,ɖ͡ʐaˋm.d̥ɛ̃n̚,2
16562,ɖ͡ʐaˋm.g̊ø,2
16563,ɖ͡ʐaˋm.ɖ͡ʐ̊ər,2
16564,ɖ͡ʐaˋm.ɲəm,2
16565,ɖ͡ʐaˋm.d̥əp̚,2
16566,ɖ͡ʐaˋm.d̥uk̚,2
16567,ɖ͡ʐaˋm.ɖ͡ʐ̊ɛ,2
16568,ɖ͡ʐaˋm.jãŋ,2
16569,ɖ͡ʐaˋm.d̥ər,2
16570,ɖ͡ʐaˋm.nɛ,2
16571,ɖ͡ʐaˋm.b̥ə,2
16572,ɖ͡ʐaˋm.b̥o,2
16573,ɖ͡ʐaˋm.ɖ͡ʐ̊ɛl,2
16574,ɖ͡ʐaˋm.d̥ək̚,2
16575,ɖ͡ʐaˋm.ɕɛl,2
16576,ɖ͡ʐaˋm.ly,2
16577,ɖ͡ʐaˋm.g̊ø̃n̚,2
16578,ɖ͡ʐaˋm.ɲɛ̃n̚,2
16579,ɖ͡ʐaˋː.mo,2
16580,ɖ͡ʐaˋm.d͡z̥ək̚,2
16581,ɖ͡ʐaˋm.ɖ͡ʐ̊ək̚,2
16582,ɖ͡ʐaˋm.ɖ̥ɛ,2
16583,ɖ͡ʐaˋm.jɛ,2
16584,ɖ͡ʐaˋm.juk̚,2
16585,ɖ͡ʐaˋm.røl,2
16586,ɖ͡ʐaˋm.d̥ɔr,2
16587,ɖ͡ʐaˋm.d͡z̥i,2
16588,ɖ͡ʐaˋm.lũŋ,2
16589,ɖ͡ʐaˋm.ɖ͡ʐ̊ãŋ,2
16590,ɖ͡ʐaˋm.ɕə,2
16591,ɖ͡ʐaˋm.ɕɔk̚,2
16592,ɖ͡ʐaˋm.sãŋ,2
16593,ɖ͡ʐaˋm.ɟ̊uk̚,2
16594,ɖ͡ʐaˋ,1
16595,ɖ͡ʐaˋ.g̊ur,2
16596,ɖ͡ʐaˋ.ɖ͡ʐ̊ɛ̃n̚,2
16597,ɖ͡ʐaˋ.wə,2
16598,ɖ͡ʐaˋ.wo,2
16599,ɖ͡ʐaˋ.mə,2
16600,ɖ͡ʐaˋ.mo,2
16601,ɖ͡ʐaˋ.d͡z̥ø̃n̚,2
16602,ɖ͡ʐaˋ.d̥ɛk̚,2
16603,ɖ͡ʐaˋ.ø,2
16604,ɖ͡ʐaˋ.jik̚,2
16605,ɖ͡ʐaˋ.ri,2
16606,ɖ͡ʐaˋ.li,2
16607,ɖ͡ʐaˋ.ly,2
16608,ɖ͡ʐaˋ.ɕɔk̚,2
16609,ɖ͡ʐaˋ.sə,2
16610,ɖ͡ʐaˋ.g̊ɛ,2
16611,ɖ͡ʐaˋr.wə,2
16612,ɖ͡ʐaˋr.ɖ͡ʐ̊ø,2
16613,ɖ͡ʐaˋr.ɖ͡ʐ̊ər,2
16614,ɖ͡ʐɛˋl.ɖ͡ʐ̊ɛ,2
16615,ɖ͡ʐɛˋl.ɖ̥ãŋ,2
16616,ɖ͡ʐɛˋl.ɖ̥o,2
16617,ɖ͡ʐɛˋl.ɖ͡ʐ̊øl,2
16618,ɖ͡ʐɛˋl.ɖ̥ø,2
16619,ɖ͡ʐiˋ.wə,2
16620,ɖ͡ʐiˋŋ.nɛ,2
16621,ɖ͡ʐiˋk̚.pə,2
16622,ɖ͡ʐiˋ.t͡sɔk̚,2
16623,ɖ͡ʐiˋk̚.tɛ,2
16624,ɖ͡ʐiˋŋ.nø̃n̚,2
16625,ɖ͡ʐiˋk̚.ʈ͡ʂɛ̃n̚,2
16626,ɖ͡ʐiˋ.ʈ͡ʂum,2
16627,ɖ͡ʐiˋŋ.ŋãŋ,2
16628,ɖ͡ʐiˋŋ.ɲẽŋ,2
16629,ɖ͡ʐiˋ.ʈ͡ʂɛ,2
16630,ɖ͡ʐiˋŋ.mɛ,2
16631,ɖ͡ʐiˋ.tɔm,2
16632,ɖ͡ʐiˋg̊.rũŋ,2
16633,ɖ͡ʐiˋk̚.sə,2
16634,ɖ͡ʐiˋ.ɟ̊ɔp̚,2
16635,ɖ͡ʐiˋk̚.ʈək̚,2
16636,ɖ͡ʐiˋk̚.ʈɔk̚,2
16637,ɖ͡ʐiˋk̚.tãŋ,2
16638,ɖ͡ʐiˋk̚.tɛr,2
16639,ɖ͡ʐiˋŋ.nãŋ,2
16640,ɖ͡ʐĩˋŋ.səp̚,2
16641,ɖ͡ʐiˋp̚.kõŋ,2
16642,ɖ͡ʐiˋp̚.ʈ͡ʂɛ,2
16643,ɖ͡ʐiˋː.b̥ə,2
16644,ɖ͡ʐiˋː.b̥u,2
16645,ɖ͡ʐiˋp̚.tũŋ,2
16646,ɖ͡ʐiˋp̚.rə,2
16647,ɖ͡ʐiˋp̚.ru,2
16648,ɖ͡ʐiˋp.t͡si,2
16649,ɖ͡ʐiˋp̚,1
16650,ɖ͡ʐiˋm.g̊õŋ,2
16651,ɖ͡ʐiˋm.suk̚,2
16652,ɖ͡ʐiˋm.b̥ə,2
16653,ɖ͡ʐiˋm.ɕɛl,2
16654,ɖ͡ʐiˋm.lɛ,2
16655,ɖ͡ʐiˋm.g̊u,2
16656,ɖ͡ʐiˋl.wə,2
16657,ɖ͡ʐuˋ.d̥ək̚,2
16658,ɖ͡ʐuˋ.wə,2
16659,ɖ͡ʐuˋ.rɛ,2
16660,ɖ͡ʐuˋ.lũŋ,2
16661,ɖ͡ʐuˋ.g̊əm,2
16662,ɖ͡ʐuˋ.g̊ɛm,2
16663,ɖ͡ʐuˋ.d̥ɔp̚,2
16664,ɖ͡ʐuˋɣ.ŋɔk̚,2
16665,ɖ͡ʐuˋk̚.pə,2
16666,ɖ͡ʐuˋ.ʈ͡ʂɛ,2
16667,ɖ͡ʐuˋ.jyl,2
16668,ɖ͡ʐuˋɣ.ɕɛ,2
16669,ɖ͡ʐuˋk̚.ʈup̚,2
16670,ɖ͡ʐuˋɣ.nø,2
16671,ɖ͡ʐũˋŋ.b̥ə,2
16672,ɖ͡ʐyˋ.b̥ə,2
16673,ɖ͡ʐyˋm.b̥ə,2
16674,ɖ͡ʐuˋm.b̥ə,2
16675,ɖ͡ʐuˋr.g̊ɛk̚,2
16676,ɖ͡ʐuˋr.wə,2
16677,ɖ͡ʐuˋr.b̥u,2
16678,ɖ͡ʐuˋr.mə,2
16679,ɖ͡ʐuˋr.mik̚,2
16680,ɖ͡ʐuˋr.d̥uk̚,2
16681,ɖ͡ʐuˋr.d̥ə,2
16682,ɖ͡ʐuˋr.d͡z̥i,2
16683,ɖ͡ʐuˋr.ɖ̥ɔk̚,2
16684,ɖ͡ʐyˋ,1
16685,ɖ͡ʐɛˋm.b̥ə,2
16686,ɖ͡ʐɛˋː.b̥ə,2
16687,ɖ͡ʐɛˋm.b̥o,2
16688,ɖ͡ʐɛˋr.ɖ͡ʐ̊ik̚,2
16689,ɖ͡ʐoˋ.wə,2
16690,ɖ͡ʐoˋ.b̥ək̚,2
16691,ɖ͡ʐoˋ.mə,2
16692,ɖ͡ʐoˋ.d̥ə,2
16693,ɖ͡ʐoˋ.g̊ɛk̚,2
16694,ɖ͡ʐoˋ.d̥ɛk̚,2
16695,ɖ͡ʐɔˋk̚.pə,2
16696,ɖ͡ʐɔˋk̚.po,2
16697,ɖ͡ʐɔˋ.t͡səm,2
16698,ɖ͡ʐõˋŋ.b̥o,2
16699,ɖ͡ʐõˋŋ.wə,2
16700,ɖ͡ʐõˋŋ.mo,2
16701,ɖ͡ʐõˋŋ.ɖ͡ʐ̊õŋ,2
16702,ɖ͡ʐøˋ.d͡z̥e,2
16703,ɖ͡ʐø̃ˋn̚,1
16704,ɖ͡ʐøˋn̚.d̥ãŋ,2
16705,ɖ͡ʐøˋn̚.mər,2
16706,ɖ͡ʐøˋm.b̥o,2
16707,ɖ͡ʐɔˋp̚,1
16708,ɖ͡ʐɔˋm.b̥ə,2
16709,ɖ͡ʐɔˋm.ɖ͡ʐ̊ɛ,2
16710,ɖ͡ʐɔˋr.b̥u,2
16711,ɖ͡ʐøˋl.b̥o,2
16712,ɖ͡ʐøˋl.wə,2
16713,ɖ͡ʐøˋl.b̥ɛr,2
16714,ɖ͡ʐøˋl.mo,2
16715,tʰaˊk̚.to,2
16716,tʰaˊɣ.ɕə,2
16717,tʰaˊk̚.so,2
16718,tʰaˊk̚.ʈ͡ʂɛ,2
16719,tʰɛˊ.b̥ə,2
16720,tʰɛˊm.b̥o,2
16721,tʰəˊː.b̥ə,2
16722,tʰəˊː.b̥o,2
16723,tʰəˊː.b̥ɛr,2
16724,tʰəˊp̚.mo.wə,3
16725,tʰəˊp.tə,2
16726,tʰəˊp̚.ʈuk̚,2
16727,tʰəˊp̚.jə,2
16728,tʰəˊp̚.jɛ,2
16729,tʰəˊp̚.rək̚,2
16730,tʰəˊp̚.røl,2
16731,tʰəˊp.t͡sɛl,2
16732,tʰəˊp.t͡sø,2
16733,tʰĩˊŋ.lɛ,2
16734,tʰuˊ.ɖ͡ʐ̊ə,2
